Name,Link,Address,Phone,Price
Holiday Inn Toronto Airport East,https://www.tripadvisor.ca/Hotel_Review-g155019-d181988-Reviews-Holiday_Inn_Toronto_Airport_East-Toronto_Ontario.html,"600 Dixon Rd, Toronto, Ontario M9W 1J1 Canada",1 (877) 859-5095,C$137
The Beverley Hotel,https://www.tripadvisor.ca/Hotel_Review-g155019-d4713238-Reviews-The_Beverley_Hotel-Toronto_Ontario.html,"335 Queen St W, Toronto, Ontario M5V 2A4 Canada",,C$254
McGill Inn B&B,https://www.tripadvisor.ca/Hotel_Review-g155019-d185898-Reviews-McGill_Inn_B_B-Toronto_Ontario.html,"106 Broadview Ave Queen St & Broadview Ave, Toronto, Ontario M4M 2G1 Canada",(647) 799-2319,C$129
Hotel Ocho,https://www.tripadvisor.ca/Hotel_Review-g155019-d2180062-Reviews-Hotel_Ocho-Toronto_Ontario.html,"110 McGill St, Toronto, Ontario M5B 1H6 Canada",,C$209
Yonge Suites Furnished Apartments,https://www.tripadvisor.ca/Hotel_Review-g155019-d3370399-Reviews-Yonge_Suites_Furnished_Apartments-Toronto_Ontario.html,"195 Spadina Ave, Toronto, Ontario M5T 2C5 Canada",,C$290
The Broadview Hotel,https://www.tripadvisor.ca/Hotel_Review-g155019-d12731277-Reviews-The_Broadview_Hotel-Toronto_Ontario.html,"209 Yonge St, Toronto, Ontario M5B 1M4 Canada",,C$121
Toronto Don Valley Hotel & Suites,https://www.tripadvisor.ca/Hotel_Review-g155019-d186892-Reviews-Toronto_Don_Valley_Hotel_Suites-Toronto_Ontario.html,"175 Wynford Dr, Toronto, Ontario M3C 1J3 Canada",(647) 697-5361,C$140
Elegant Suite at Bloor Bathurst,https://www.tripadvisor.ca/Hotel_Review-g155019-d17606717-Reviews-Elegant_Suite_at_Bloor_Bathurst-Toronto_Ontario.html,"33 Carlson Crt, Toronto, Ontario M9W 6H5 Canada",1 (877) 859-5095,C$119
Alexandra Hotel,https://www.tripadvisor.ca/Hotel_Review-g155019-d184515-Reviews-Alexandra_Hotel-Toronto_Ontario.html,"77 Ryerson Ave at Queen Street West, Toronto, Ontario M5T 2V4 Canada",,C$271
Life Suites Loft - CN Tower,https://www.tripadvisor.ca/Hotel_Review-g155019-d12034975-Reviews-Life_Suites_Loft_CN_Tower-Toronto_Ontario.html,"445 Rexdale Blvd, Toronto, Ontario M9W 6P8 Canada",1 (855) 973-7216,C$119
Econo Lodge Inn & Suites Downtown,https://www.tripadvisor.ca/Hotel_Review-g155019-d596575-Reviews-Econo_Lodge_Inn_Suites_Downtown-Toronto_Ontario.html,"20 Madison Ave, Toronto, Ontario M5R 2S1 Canada",,C$178
Madison Manor Boutique Hotel,https://www.tripadvisor.ca/Hotel_Review-g155019-d183072-Reviews-Madison_Manor_Boutique_Hotel-Toronto_Ontario.html,"335 Jarvis St, Toronto, Ontario M5B 2C2 Canada",1 (855) 973-7216,C$149
Crowne Plaza Toronto Airport,https://www.tripadvisor.ca/Hotel_Review-g155019-d182004-Reviews-Crowne_Plaza_Toronto_Airport-Toronto_Ontario.html,,,C$179
Toronto Rooms and Suites,https://www.tripadvisor.ca/Hotel_Review-g155019-d16963083-Reviews-Toronto_Rooms_and_Suites-Toronto_Ontario.html,"1684 Queen St E, Toronto, Ontario M4L 1G6 Canada",,C$180
Simply Comfort Gorgeous Apartments in the Heart of Toronto,https://www.tripadvisor.ca/Hotel_Review-g155019-d17758361-Reviews-Simply_Comfort_Gorgeous_Apartments_in_the_Heart_of_Toronto-Toronto_Ontario.html,"4626 Kingston Rd, Toronto, Ontario M1E 2P6 Canada",,C$197
Rooms in Downtown Heritage House,https://www.tripadvisor.ca/Hotel_Review-g155019-d16973172-Reviews-Rooms_in_Downtown_Heritage_House-Toronto_Ontario.html,"2180 Islington Avenue, Toronto, Ontario M9P 3P1 Canada",1 (855) 821-4553,C$125
Sarkar Suites,https://www.tripadvisor.ca/Hotel_Review-g155019-d16665590-Reviews-Sarkar_Suites-Toronto_Ontario.html,"246 Sherbourne St Sherbourne and Dundas, Toronto, Ontario M5A 2S1 Canada",,C$189
The Atmosphere Boutique Suites,https://www.tripadvisor.ca/Hotel_Review-g155019-d15638025-Reviews-The_Atmosphere_Boutique_Suites-Toronto_Ontario.html,"209 Carlton St, Toronto, Ontario M5A 2K9 Canada",,C$319
Simply Comfort. Maple Leaf Square,https://www.tripadvisor.ca/Hotel_Review-g155019-d17620402-Reviews-Simply_Comfort_Maple_Leaf_Square-Toronto_Ontario.html,"403 Spadina Ave, Toronto, Ontario M5T 2G6 Canada",,C$192
Ada's Guesthouse,https://www.tripadvisor.ca/Hotel_Review-g155019-d2225473-Reviews-Ada_s_Guesthouse-Toronto_Ontario.html,"357 Spadina Ave, Toronto, Ontario M5T 2G3 Canada",,C$134
Atlas Suites - CN Tower & Convention Centre Toronto,https://www.tripadvisor.ca/Hotel_Review-g155019-d9767195-Reviews-Atlas_Suites_CN_Tower_Convention_Centre_Toronto-Toronto_Ontario.html,"20 John St, Toronto, Ontario M5V 0G5 Canada",,C$208
Toronto Lucky House,https://www.tripadvisor.ca/Hotel_Review-g155019-d17620292-Reviews-Toronto_Lucky_House-Toronto_Ontario.html,"170 Willowdale Ave, Toronto, Ontario M2N 4Y6 Canada",,C$93
Days Inn by Wyndham Toronto East Beaches,https://www.tripadvisor.ca/Hotel_Review-g155019-d188215-Reviews-Days_Inn_by_Wyndham_Toronto_East_Beaches-Toronto_Ontario.html,"12 York St, Toronto, Ontario M5J 0A9 Canada",,C$86
The Only Backpackers Inn,https://www.tripadvisor.ca/Hotel_Review-g155019-d6153899-Reviews-The_Only_Backpackers_Inn-Toronto_Ontario.html,"335 Queen St W, Toronto, Ontario M5V 2A4 Canada",,C$153
Two Peas Pod Hostel,https://www.tripadvisor.ca/Hotel_Review-g155019-d15194270-Reviews-Two_Peas_Pod_Hostel-Toronto_Ontario.html,"296 Brunswick Ave, Toronto, Ontario M5S 2M7 Canada",,C$85
Hostel Toronto,https://www.tripadvisor.ca/Hotel_Review-g155019-d13292520-Reviews-Hostel_Toronto-Toronto_Ontario.html,"55 Bremner Blvd, Toronto, Ontario M5J 0A6 Canada",,C$159
Fairview Home,https://www.tripadvisor.ca/Hotel_Review-g155019-d16659778-Reviews-Fairview_Home-Toronto_Ontario.html,"12-14 York St, Toronto, Ontario M5J 0B1 Canada",,C$72
Toronto's Favourite Urban B&B,https://www.tripadvisor.ca/Hotel_Review-g155019-d3533528-Reviews-Toronto_s_Favourite_Urban_B_B-Toronto_Ontario.html,,,C$71
Sarkar Suites - Maple Leaf Square,https://www.tripadvisor.ca/Hotel_Review-g155019-d15642963-Reviews-Sarkar_Suites_Maple_Leaf_Square-Toronto_Ontario.html,"51 Bowie Ave, Toronto, Ontario M6E 2P4 Canada",,C$125
Mina's Guesthouse,https://www.tripadvisor.ca/Hotel_Review-g155019-d3637369-Reviews-Mina_s_Guesthouse-Toronto_Ontario.html,"118 Spadina Rd, Toronto, Ontario M5R 2T8 Canada",,C$130
The Annex,https://www.tripadvisor.ca/Hotel_Review-g155019-d15326716-Reviews-The_Annex-Toronto_Ontario.html,"966 Danforth Ave, Toronto, Ontario M4J 1L9 Canada",,C$90
Grand Motel Toronto,https://www.tripadvisor.ca/Hotel_Review-g155019-d681156-Reviews-Grand_Motel_Toronto-Toronto_Ontario.html,"29 Linden St, Toronto, Ontario M4Y 1V5 Canada",,C$413
Four Points by Sheraton Toronto Airport East,https://www.tripadvisor.ca/Hotel_Review-g155019-d183116-Reviews-Four_Points_by_Sheraton_Toronto_Airport_East-Toronto_Ontario.html,"35 Mariner Terr, Toronto, Ontario M5V 3V9 Canada",,C$62
Atlas Suites - Mariner Furnished Apartments,https://www.tripadvisor.ca/Hotel_Review-g155019-d4697849-Reviews-Atlas_Suites_Mariner_Furnished_Apartments-Toronto_Ontario.html,"300 Front St W, Toronto, Ontario M5V 0E9 Canada",,C$163
The Willowdale Hotel Toronto North York,https://www.tripadvisor.ca/Hotel_Review-g155019-d596036-Reviews-The_Willowdale_Hotel_Toronto_North_York-Toronto_Ontario.html,"594 Dundas St W, Toronto, Ontario M5T 1H5 Canada",,C$102
Havinn International Guest House,https://www.tripadvisor.ca/Hotel_Review-g155019-d585674-Reviews-Havinn_International_Guest_House-Toronto_Ontario.html,,,
